INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user1'	, 	'1234'	, 	'user1@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user27'	, 	'1234'	, 	'user27@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user28'	, 	'1234'	, 	'user28@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user29'	, 	'1234'	, 	'user29@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user30'	, 	'1234'	, 	'user30@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user31'	, 	'1234'	, 	'user31@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user32'	, 	'1234'	, 	'user32@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user33'	, 	'1234'	, 	'user33@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user34'	, 	'1234'	, 	'user34@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user35'	, 	'1234'	, 	'user35@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user36'	, 	'1234'	, 	'user36@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user37'	, 	'1234'	, 	'user37@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user38'	, 	'1234'	, 	'user38@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user39'	, 	'1234'	, 	'user39@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user40'	, 	'1234'	, 	'user40@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user41'	, 	'1234'	, 	'user41@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user42'	, 	'1234'	, 	'user42@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user43'	, 	'1234'	, 	'user43@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user44'	, 	'1234'	, 	'user44@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user45'	, 	'1234'	, 	'user45@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user46'	, 	'1234'	, 	'user46@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user47'	, 	'1234'	, 	'user47@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user48'	, 	'1234'	, 	'user48@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user49'	, 	'1234'	, 	'user49@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user50'	, 	'1234'	, 	'user50@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user51'	, 	'1234'	, 	'user51@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user52'	, 	'1234'	, 	'user52@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user53'	, 	'1234'	, 	'user53@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user54'	, 	'1234'	, 	'user54@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user55'	, 	'1234'	, 	'user55@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user56'	, 	'1234'	, 	'user56@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user57'	, 	'1234'	, 	'user57@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user58'	, 	'1234'	, 	'user58@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user59'	, 	'1234'	, 	'user59@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user60'	, 	'1234'	, 	'user60@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user61'	, 	'1234'	, 	'user61@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user62'	, 	'1234'	, 	'user62@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user63'	, 	'1234'	, 	'user63@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user64'	, 	'1234'	, 	'user64@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user65'	, 	'1234'	, 	'user65@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user66'	, 	'1234'	, 	'user66@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user67'	, 	'1234'	, 	'user67@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user68'	, 	'1234'	, 	'user68@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user69'	, 	'1234'	, 	'user69@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user70'	, 	'1234'	, 	'user70@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user71'	, 	'1234'	, 	'user71@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user72'	, 	'1234'	, 	'user72@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user73'	, 	'1234'	, 	'user73@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user74'	, 	'1234'	, 	'user74@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user75'	, 	'1234'	, 	'user75@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user76'	, 	'1234'	, 	'user76@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user77'	, 	'1234'	, 	'user77@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user78'	, 	'1234'	, 	'user78@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user79'	, 	'1234'	, 	'user79@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user80'	, 	'1234'	, 	'user80@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user81'	, 	'1234'	, 	'user81@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user82'	, 	'1234'	, 	'user82@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user83'	, 	'1234'	, 	'user83@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user84'	, 	'1234'	, 	'user84@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user85'	, 	'1234'	, 	'user85@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user86'	, 	'1234'	, 	'user86@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user87'	, 	'1234'	, 	'user87@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user88'	, 	'1234'	, 	'user88@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user89'	, 	'1234'	, 	'user89@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user90'	, 	'1234'	, 	'user90@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user91'	, 	'1234'	, 	'user91@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user92'	, 	'1234'	, 	'user92@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user93'	, 	'1234'	, 	'user93@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user94'	, 	'1234'	, 	'user94@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user95'	, 	'1234'	, 	'user95@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user96'	, 	'1234'	, 	'user96@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user97'	, 	'1234'	, 	'user97@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user98'	, 	'1234'	, 	'user98@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user99'	, 	'1234'	, 	'user99@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user100'	, 	'1234'	, 	'user100@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user101'	, 	'1234'	, 	'user101@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user102'	, 	'1234'	, 	'user102@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user103'	, 	'1234'	, 	'user103@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user104'	, 	'1234'	, 	'user104@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user105'	, 	'1234'	, 	'user105@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user106'	, 	'1234'	, 	'user106@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user107'	, 	'1234'	, 	'user107@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user108'	, 	'1234'	, 	'user108@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user109'	, 	'1234'	, 	'user109@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user110'	, 	'1234'	, 	'user110@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user111'	, 	'1234'	, 	'user111@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user112'	, 	'1234'	, 	'user112@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user113'	, 	'1234'	, 	'user113@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user114'	, 	'1234'	, 	'user114@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user115'	, 	'1234'	, 	'user115@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user116'	, 	'1234'	, 	'user116@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user117'	, 	'1234'	, 	'user117@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user118'	, 	'1234'	, 	'user118@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user119'	, 	'1234'	, 	'user119@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user120'	, 	'1234'	, 	'user120@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user121'	, 	'1234'	, 	'user121@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user122'	, 	'1234'	, 	'user122@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user123'	, 	'1234'	, 	'user123@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user124'	, 	'1234'	, 	'user124@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user125'	, 	'1234'	, 	'user125@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user126'	, 	'1234'	, 	'user126@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user127'	, 	'1234'	, 	'user127@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user128'	, 	'1234'	, 	'user128@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user129'	, 	'1234'	, 	'user129@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user130'	, 	'1234'	, 	'user130@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user131'	, 	'1234'	, 	'user131@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user132'	, 	'1234'	, 	'user132@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user133'	, 	'1234'	, 	'user133@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user134'	, 	'1234'	, 	'user134@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user135'	, 	'1234'	, 	'user135@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user136'	, 	'1234'	, 	'user136@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user137'	, 	'1234'	, 	'user137@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user138'	, 	'1234'	, 	'user138@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user139'	, 	'1234'	, 	'user139@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user140'	, 	'1234'	, 	'user140@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user141'	, 	'1234'	, 	'user141@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user142'	, 	'1234'	, 	'user142@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user143'	, 	'1234'	, 	'user143@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user144'	, 	'1234'	, 	'user144@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user145'	, 	'1234'	, 	'user145@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user146'	, 	'1234'	, 	'user146@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user147'	, 	'1234'	, 	'user147@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user148'	, 	'1234'	, 	'user148@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user149'	, 	'1234'	, 	'user149@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user150'	, 	'1234'	, 	'user150@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user151'	, 	'1234'	, 	'user151@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user152'	, 	'1234'	, 	'user152@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user153'	, 	'1234'	, 	'user153@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user154'	, 	'1234'	, 	'user154@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user155'	, 	'1234'	, 	'user155@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user156'	, 	'1234'	, 	'user156@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user157'	, 	'1234'	, 	'user157@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user158'	, 	'1234'	, 	'user158@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user159'	, 	'1234'	, 	'user159@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user160'	, 	'1234'	, 	'user160@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user161'	, 	'1234'	, 	'user161@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user162'	, 	'1234'	, 	'user162@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user163'	, 	'1234'	, 	'user163@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user164'	, 	'1234'	, 	'user164@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user165'	, 	'1234'	, 	'user165@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user166'	, 	'1234'	, 	'user166@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user167'	, 	'1234'	, 	'user167@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user168'	, 	'1234'	, 	'user168@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user169'	, 	'1234'	, 	'user169@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user170'	, 	'1234'	, 	'user170@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user171'	, 	'1234'	, 	'user171@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user172'	, 	'1234'	, 	'user172@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user173'	, 	'1234'	, 	'user173@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user174'	, 	'1234'	, 	'user174@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user175'	, 	'1234'	, 	'user175@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user176'	, 	'1234'	, 	'user176@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user177'	, 	'1234'	, 	'user177@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user178'	, 	'1234'	, 	'user178@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user179'	, 	'1234'	, 	'user179@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user180'	, 	'1234'	, 	'user180@example.com'	);
